11371,0,0.0,queen,Age 5-11
11372,361,208.8,queen,Age 5-11
11373,491,192.2,queen,Age 5-11
11374,80,97.7,queen,Age 5-11
11375,103,76.0,queen,Age 5-11
11377,370,176.7,queen,Age 5-11
11378,70,83.6,queen,Age 5-11
11379,52,72.2,queen,Age 5-11
11411,107,214.9,queen,Age 5-11
11412,228,228.3,queen,Age 5-11
11413,251,251.9,queen,Age 5-11
11414,40,70.7,queen,Age 5-11
11415,55,102.2,queen,Age 5-11
11416,157,217.8,queen,Age 5-11
11417,128,146.3,queen,Age 5-11
11418,264,253.5,queen,Age 5-11
11419,278,193.6,queen,Age 5-11
11420,317,227.9,queen,Age 5-11
11421,190,175.0,queen,Age 5-11
11422,131,155.3,queen,Age 5-11
11423,163,197.1,queen,Age 5-11
11426,57,122.9,queen,Age 5-11
11427,74,121.8,queen,Age 5-11
11428,96,164.1,queen,Age 5-11
11429,135,181.1,queen,Age 5-11
11432,434,301.6,queen,Age 5-11
11433,367,403.2,queen,Age 5-11
11434,482,285.8,queen,Age 5-11
11435,341,228.0,queen,Age 5-11
11436,140,251.4,queen,Age 5-11
11691,627,331.7,queen,Age 5-11
11692,278,472.1,queen,Age 5-11
11693,100,254.1,queen,Age 5-11
11694,43,90.5,queen,Age 5-11
11201,1033,90.9,kings,Age 18-64
11203,2254,138.9,kings,Age 18-64
11204,305,21.6,kings,Age 18-64
11205,1161,152.5,kings,Age 18-64
11206,3803,270.9,kings,Age 18-64
11207,4224,248.1,kings,Age 18-64
11208,3147,182.1,kings,Age 18-64
11209,437,31.5,kings,Age 18-64
11210,910,69.9,kings,Age 18-64
11211,1316,75.4,kings,Age 18-64
11212,4841,309.6,kings,Age 18-64
11213,2395,200.9,kings,Age 18-64
11214,481,29.7,kings,Age 18-64
11215,708,49.7,kings,Age 18-64
11216,2261,210.5,kings,Age 18-64
11217,724,97.2,kings,Age 18-64
11218,559,39.0,kings,Age 18-64
11219,336,22.7,kings,Age 18-64
11220,1427,75.1,kings,Age 18-64
11221,4061,274.0,kings,Age 18-64
11222,229,26.3,kings,Age 18-64
11223,697,50.3,kings,Age 18-64
11224,1087,128.8,kings,Age 18-64
11225,1667,142.3,kings,Age 18-64
11226,2897,144.8,kings,Age 18-64
11228,181,24.3,kings,Age 18-64
11229,566,37.8,kings,Age 18-64
11230,507,33.1,kings,Age 18-64
11231,687,96.7,kings,Age 18-64
11232,406,70.8,kings,Age 18-64
11233,3117,260.7,kings,Age 18-64
11234,1093,63.7,kings,Age 18-64
11235,596,39.2,kings,Age 18-64
11236,2378,125.7,kings,Age 18-64
11237,1617,170.0,kings,Age 18-64
11238,1343,121.5,kings,Age 18-64
11239,268,102.2,kings,Age 18-64
11385,1221,63.1,kings,Age 18-64
11004,11,39.2,queen,Age 12-17
11005,0,0.0,queen,Age 12-17
11101,98,175.2,queen,Age 12-17
11102,104,139.7,queen,Age 12-17
11103,45,62.7,queen,Age 12-17
11104,11,22.8,queen,Age 12-17
